1	-1.43211911461892	0	-1.14085798816568
2	-1.28202561729243	0	-1.14085798816568
4	-1.19609937231368	-1.1511576731798	-1.14085798816568
8	-1.15842539725603	-1.15449966595066	-1.14085798816568
16	-1.14806211122645	-1.14802643497042	-1.14085798816568
32	-1.14432790363292	-1.1443278998502	-1.14085798816568
64	-1.14256514447212	-1.14256514447212	-1.14085798816568
128	-1.14170492284264	-1.14170492284264	-1.14085798816568
256	-1.14127982981788	-1.14127982981788	-1.14085798816568
512	-1.14106850679525	-1.14106850679525	-1.14085798816568
1024	-1.1409631474493	-1.14096314744929	-1.14085798816568
2048	-1.14091054286382	-1.14091054286381	-1.14085798816568
